,Name,Latitude,Temperature,Humidity,Cloudiness,Windspeed
116,port macquarie,-31.43,84.2,48,92,4.7
117,itarema,-2.92,76.09,93,76,7.34
118,lompoc,34.64,59.47,76,1,11.41
119,new norfolk,-42.78,64.4,60,0,20.8
120,te anau,-45.41,65.65,42,48,13.82
121,ambanja,-13.68,71.1,100,92,2.3
122,harper,30.3,58.53,49,1,7.61
123,nouadhibou,20.93,62.6,48,0,11.41
124,zhaoqing,23.05,52.11,93,80,3.24
125,sabang,13.72,76,100,92,15.61
126,port hardy,50.7,37.4,86,90,36.91
127,thompson,55.74,-0.41,70,90,11.41
128,tiksi,71.64,-36.5,70,8,3.2
129,saint george,39.45,20.8,73,40,10.29
130,torbay,47.66,19.4,85,90,21.92
131,bandarbeyla,9.49,76.59,100,92,15.84
132,nanortalik,60.14,30.82,99,92,24.34
133,qasigiannguit,68.82,6.8,77,88,20.8
134,leningradskiy,69.38,-8.02,97,0,20.92
135,srednekolymsk,67.46,-22.42,65,24,3.02
136,dalian,19.86,71.6,88,75,8.95
137,barentsburg,,,,,
138,cidreira,-30.17,73.62,97,100,11.25
139,dingle,11,78.34,75,20,14.76
140,sinnamary,5.38,78.52,96,20,9.06
141,saquena,-4.67,80.5,82,48,3.2
142,tawkar,,,,,
143,arrecife,,,,,
144,east london,-33.02,72.63,100,68,2.24
145,vaitupu,,,,,
146,chuy,-33.69,74.43,80,0,15.28
147,longyearbyen,78.22,23,73,75,18.34
148,adrian,41.9,40.15,74,40,12.75
149,grand centre,,,,,
150,saint-philippe,45.36,31.86,85,90,5.82
151,derzhavinsk,51.1,11.7,86,64,11.3
152,bintulu,3.17,77,94,75,5.82
153,sao joao da barra,-21.64,79.47,96,0,25.57
154,prince rupert,54.32,32,100,20,3.36
155,grand gaube,-20.01,78.8,78,40,11.41
156,pokhara,28.21,41.35,60,56,3.09
157,cayenne,4.94,77,83,0,3.36
158,ushibuka,32.19,42.03,100,12,14.94
159,kutum,14.2,50.35,36,0,9.57
160,avera,33.19,62.17,67,1,5.82
161,gedo,9.01,39.37,46,0,3.36
162,eloy,32.76,61,72,1,4.7
163,reitz,-27.8,56.52,95,0,10.36
164,beringovskiy,63.05,23.58,89,92,38.03
165,lengshuitan,26.41,36.99,100,92,3.58
166,luderitz,-26.65,59.49,79,0,13.15
167,whitianga,-36.83,69.93,98,80,10.07
168,talnakh,69.49,-9.28,82,48,2.98
169,inverness,57.48,37.26,92,24,1.12
170,la ronge,55.1,-4.01,70,40,12.75
171,dong xoai,11.53,68.85,94,8,2.57
172,usvyaty,55.75,11.74,87,64,13.53
173,kuytun,54.34,8.59,75,76,3.69
174,burica,,,,,
175,qaqortoq,60.72,29.7,100,92,25.17
176,castro,-42.48,50,66,75,3.36
177,vostok,46.45,-4.87,64,12,4.59
178,kjollefjord,70.95,16.02,77,0,5.7
179,ponta do sol,-20.63,64.44,97,32,5.26
180,viedma,-40.81,71.82,29,92,21.54
181,tiruchchendur,8.48,73.4,83,20,13.87
182,mezen,65.85,6.79,71,80,6.82
183,kruisfontein,-34,63.45,97,92,4.88
184,javanrud,34.8,33.8,86,90,4.7
185,najran,17.54,57.2,63,0,2.98
186,ranong,9.96,82.4,69,20,21.92
187,alice springs,-23.7,89.6,21,0,19.46
188,zeya,53.74,-21.43,58,0,1.07
189,kahului,20.89,77.94,51,40,17.22
190,donji vakuf,44.14,27.27,88,92,1.86
191,avarua,-21.21,82.4,58,20,10.29
192,sucua,-2.46,69.39,87,88,2.24
193,marawi,8,71.73,70,0,3.36
194,sarkand,45.41,28.35,87,92,3.47
195,high prairie,55.43,2.74,62,0,4.99
196,olinda,-2.03,80.6,83,75,5.82
197,barawe,,,,,
198,brae,60.4,39.2,64,24,14.99
199,coahuayana,18.62,78.52,47,0,2.19
200,bara,10.41,63.36,28,0,10.29
201,ayan,40.67,11.79,81,20,4.47
202,katsiveli,,,,,
203,hunchun,42.86,11.47,38,0,4.59
204,rioblanco,3.53,61.11,98,80,1.68
205,kuala terengganu,5.33,82.4,83,75,6.93
206,pundaguitan,6.37,80.37,100,24,12.3
207,norsup,-16.07,82.35,84,68,6.22
208,taltal,-25.41,61.47,78,0,2.68
209,arraial do cabo,-22.97,77,73,0,16.11
210,klaksvik,62.23,33.8,74,24,1.12
211,labuhan,-2.54,75.37,94,92,1.45
212,utiroa,,,,,
213,gazojak,41.19,33.21,97,80,3.2
214,krefeld,51.33,39.54,80,75,13.87
215,barranca,-10.75,72.27,99,56,7.83
216,vao,59.1,25.74,92,88,6.71
217,fairbanks,64.84,-14.1,79,75,3.2
218,tuggurt,,,,,
219,candolim,15.52,69.8,83,0,5.82
220,longyan,25.1,53.37,100,92,1.68
221,sioux lookout,50.1,9.41,78,90,13.87
222,georgetown,6.8,77.65,83,40,6.93
223,rundu,-17.91,66.55,88,24,6.26
224,kyshtovka,56.56,5.89,81,80,9.35
225,nguiu,,,,,
226,krasnoborsk,61.56,21.55,94,88,4.09
227,san policarpo,12.18,78.79,95,92,16.06
228,mayya,61.74,-49.01,56,12,4.47
229,pacific grove,36.62,59.74,77,90,14.38
230,yatou,3.63,77,94,40,2.24
231,san quintin,17.54,67.09,75,0,4.88
232,lagoa,37.14,48.2,76,0,5.82
233,tumannyy,,,,,
234,envira,,,,,
235,fortuna,38.18,48.18,43,0,10.29
236,bhalwal,32.26,37.39,85,0,2.8
237,sura,30.03,42.97,93,0,6.89
238,dunedin,-45.87,69.75,68,68,6.55
239,nizhniy kuranakh,58.84,-1.13,74,68,2.57
240,port elizabeth,39.31,43.14,99,20,6.93
241,puerto carreno,6.19,82.4,65,0,3.36
242,agalatovo,60.22,24.8,100,90,4.47
243,shakhtinsk,49.71,17.6,85,90,22.37
244,ingham,-18.65,81.36,90,76,12.53
245,rosarito,4.91,73.4,83,75,3.36
246,obidos,39.36,41.16,61,0,4.7
247,vossevangen,60.63,22.72,83,0,3.58
248,robertsport,6.75,83.7,99,48,9.62
249,kawalu,-7.38,68.67,97,32,2.24
250,hasaki,35.73,39.88,44,20,10.29
251,cabo san lucas,22.89,71.6,73,5,4.7
252,cam ranh,11.92,82.4,74,40,9.17
253,litovko,49.24,-0.01,64,56,6.04
254,arkhara,49.42,4.23,61,56,7.9
255,sakakah,,,,,
256,victoria,5.28,84.2,83,75,4.21
257,santiago,-33.44,65.52,52,0,9.17
258,urdzhar,,,,,
259,peniche,39.36,40.98,61,0,4.7
260,satka,55.04,2.79,72,88,10.58
261,asau,,,,,
262,shache,38.42,11.25,74,24,0.96
263,bolungarvik,,,,,
264,baykit,61.68,-2.26,68,56,5.21
265,zabol,31.03,44.6,42,0,4.7
266,oranjestad,12.52,78.8,78,20,14.99
267,chabahar,25.29,70.6,100,0,5.55
268,bereda,43.27,35.6,100,90,4.7
269,saskylakh,71.97,-40.46,0,0,9.01
270,rive-de-gier,45.53,38.75,80,90,10.29
271,sistranda,63.73,35.6,80,40,19.46
272,tekeli,44.86,28.89,100,92,4.99
273,kavaratti,10.57,81.36,100,0,9.51
274,warqla,,,,,
275,lavrentiya,65.58,2.47,87,0,29.59
276,chernyshevskiy,63.01,0.9,79,48,4.54
277,mataram,-5.32,73.35,97,68,1.52
278,port moresby,-9.47,86,70,40,9.17
279,carnarvon,-30.97,66.64,38,0,8.72
280,padang,-0.92,77,94,40,3.36
281,babstovo,48.12,0.18,75,12,7.05
282,faya,18.39,51.8,40,0,2.68
283,matara,-13.74,45.94,97,88,1.74
284,tupik,54.43,-15.85,63,24,2.57
285,faanui,-16.48,83.34,100,68,6.82
286,antalaha,-14.9,74.52,100,92,1.57
287,havoysund,71,24.8,85,20,3.36
288,port lincoln,-34.72,64.62,88,0,10.02
289,ibra,22.69,52.56,98,8,1.97
290,sao jose da coroa grande,-8.9,75.87,99,92,5.48
291,pisco,-13.71,73.4,83,90,17.22
292,karasjok,69.47,14,100,48,11.41
293,sorland,67.67,40.5,100,68,32.17
294,saldanha,41.42,22.9,77,0,2.8
295,sentyabrskiy,,,,,
296,nabire,-3.36,70.83,96,88,2.19
297,namatanai,-3.66,83.79,99,80,8.5
298,mahajanga,-15.72,78.8,88,20,2.24
299,ostrovnoy,68.05,13.23,92,76,13.76
300,saint-pierre,48.95,39.79,80,90,13.87
301,attawapiskat,,,,,
302,concepcion,9.56,72.27,98,76,4.03
303,vila velha,-3.71,80.6,83,40,3.36
304,blind river,46.19,31.26,95,90,11.41
305,becerril,9.7,75.87,62,92,1.07
306,san jose de guanipa,8.89,82.35,53,68,14.27
307,pistoia,43.93,32.97,85,40,2.24
308,ishikawa,37.14,32,78,20,18.34
309,haibowan,,,,,
310,belaya gora,68.54,-29.21,47,68,3.76
311,atambua,-9.11,77.67,100,80,1.07
312,tautira,-17.73,80.6,83,40,16.11
313,baruun-urt,46.68,2.43,69,0,19.8
314,marzuq,14.4,41.8,86,24,3.09
315,aquiraz,-3.9,80.6,83,40,3.36
316,los llanos de aridane,28.66,62.6,63,68,10.29
317,grindavik,63.84,46.4,100,90,20.8
318,cherskiy,68.75,-22.28,33,0,1.86
319,lithakia,37.72,37.4,69,32,10.29
320,chapleau,47.85,26.6,92,90,6.93
321,gushikawa,26.35,64.89,69,90,10.29
322,yambio,,,,,
323,geraldton,49.72,19.4,79,90,10.29
324,gat,14.69,70.77,60,0,16.11
325,yerbogachen,61.28,6.66,61,64,10.25
326,kattivakkam,13.22,66.2,100,20,3.36
327,praia,-20.25,73.4,69,0,5.82
328,altamont,49.4,5,65,56,27.51
329,les cayes,18.19,76.72,100,8,6.33
330,mihail kogalniceanu,44.37,10.4,85,0,8.05
331,gbarnga,7,69.79,63,48,3.09
332,bar harbor,44.39,34.57,100,90,8.05
333,takoradi,4.89,80.73,100,0,7.27
334,nanyang,33,28.57,75,92,11.92
335,nicoya,10.15,80.6,57,0,16.11
336,ust-kuyga,70,-47.08,0,24,2.98
337,vanimo,-2.67,83.16,99,76,14.38
338,mineiros,-17.57,68.22,94,36,3.31
339,kungurtug,50.6,-24.71,29,0,1.52
340,teguldet,57.31,14.17,83,88,6.82
341,blagoyevo,63.37,5.76,73,76,4.25
342,mahon,51.89,46.4,100,75,2.24
343,xining,36.62,-8.6,47,0,2.53
344,clinton,41.84,31.95,71,75,32.21
345,rio gallegos,-51.62,48.2,81,75,10.29
346,yar-sale,66.83,-14.05,85,20,5.88
347,meulaboh,4.14,78.84,100,32,2.98
348,lipin bor,60.26,21.37,90,88,8.28
349,newport,51.59,37.9,93,40,8.05
350,svetlaya,46.54,16.83,100,0,15.61
351,awbari,26.59,28.44,73,32,2.68
352,thinadhoo,0.53,82.71,100,88,14.83
353,kavieng,-2.57,84.55,100,88,8.72
354,argayash,55.49,6.8,71,40,13.42
355,brainerd,46.36,9.21,57,90,17.22
356,ponta delgada,37.73,60.8,72,20,17.22
357,susanino,58.15,19.3,89,92,7.83
358,urubamba,-13.31,57.2,58,75,1.52
359,farafangana,-22.82,81.04,99,76,12.53
360,san jose,15.79,74.92,77,36,3.76
361,keti bandar,24.14,66.6,100,0,12.64
362,tikaitnagar,26.95,47.25,91,0,7.83
363,bayir,37.27,28.4,86,0,5.82
364,anadyr,64.73,5,77,75,15.66
365,north myrtle beach,33.83,60.55,93,1,8.05
366,cooma,-36.24,68,68,20,9.17
367,barra,13.49,62.6,93,0,3.36
368,kidal,18.44,52.6,39,56,5.55
369,fandriana,-20.24,61.29,95,32,2.46
370,narrabri,-30.33,87.8,33,0,10.29
371,mount vernon,40.91,41.49,100,90,5.77
372,sabha,27.03,32.22,74,24,2.86
373,tuatapere,-46.13,63.54,72,100,16.62
374,sovetskiy,56.76,14.13,84,92,8.23
375,alyangula,-13.85,91.4,66,64,9.17
376,aswan,24.09,39.55,97,0,3.76
377,goderich,43.74,36.18,100,92,21.14
378,garh maharaja,30.83,46.71,87,0,2.8
379,ndioum,16.51,68,34,0,8.72
380,kamenskoye,,,,,
381,amapa,15.09,77,78,40,9.17
382,shimanovsk,52,-13.28,60,0,3.09
383,hilton head island,32.16,60.46,87,1,6.93
384,port hedland,-20.31,102.2,22,0,6.93
385,kerman,30.29,39.2,44,0,6.93
386,kadarkut,46.24,32.85,91,88,10.63
387,muyezerskiy,63.93,19.12,93,68,2.57
388,kirakira,-10.46,84.55,99,8,13.09
389,cockburn town,21.46,78.79,99,48,14.94
390,haimen,31.87,42.03,99,92,7.78
391,rostaq,,,,,
392,bambanglipuro,-7.95,75.37,93,20,2.98
393,neiafu,-18.65,86,84,75,9.17
394,springfield,37.22,43.88,42,1,8.05
395,arman,59.7,-1.99,67,8,5.21
396,general cepeda,25.38,59,58,40,13.87
397,el tigre,8.89,82.35,53,68,14.27
398,santa maria,-29.69,70.87,98,92,5.99
399,teberda,43.44,18.9,89,88,1.07
400,tsihombe,,,,,
401,mantua,45.16,34.38,93,75,5.82
402,hambantota,6.12,75.2,88,40,3.36
403,lorengau,-2.02,84.15,97,88,11.14
404,urucui,-7.23,74.02,89,32,4.36
405,toliary,,,,,
406,suntar,62.16,0.67,71,64,3.31
407,puerto escondido,15.86,80.6,74,75,5.37
408,saint-georges,46.12,31.27,82,64,6.49
409,rock springs,41.59,23,77,1,5.82
410,tecolutla,17.31,71.59,42,8,0.45
411,kaniama,-7.57,66.82,97,64,1.74
412,a,,,,,
413,deputatskiy,69.3,-36.55,66,44,2.53
414,altamira,-3.2,78.57,86,92,2.68
415,visby,57.64,35.6,100,88,10.29
416,mbini,1.58,77.44,100,24,5.77
417,oistins,13.07,77,78,40,12.75
418,kargil,34.56,-10.45,76,64,1.19
419,mwense,-10.39,66.64,97,88,2.08
420,bend,44.06,30.16,100,90,3.36
421,bubaque,11.28,79.15,98,8,3.47
422,canton,40.8,43.61,65,90,28.86
423,mercedes,-33.25,78.79,78,48,5.59
424,arbuzynka,47.91,8.5,79,48,2.19
425,turukhansk,65.8,-12.07,76,44,5.59
426,college,64.86,-17.25,79,75,3.2
427,broken hill,-31.97,71.6,40,0,20.8
428,buala,-8.15,82.71,95,32,5.1
429,surt,31.21,49.05,100,8,8.61
430,abrau-dyurso,44.7,28.4,92,92,13.42
431,ngukurr,,,,,
432,szczecinek,53.71,33.97,100,92,7.11
433,bitam,2.08,70.47,95,0,2.75
434,lolua,,,,,
435,high level,58.52,-5.95,69,0,4.25
436,waterloo,43.47,37.4,93,90,12.75
437,xianshuigu,38.98,28.4,30,0,4.47
438,sinjah,,,,,
439,ipixuna,-1.76,75.2,94,75,2.24
440,wiarton,44.74,35.6,93,90,3.36
441,flinders,-34.58,75.2,73,75,16.11
442,taoudenni,22.68,42.75,48,0,5.26
443,luganville,-15.51,81.67,100,0,7.78
444,macon,32.84,59.27,89,1,5.82
445,galbshtadt,53.23,9.09,77,8,10.63
446,miranorte,,,,,
447,mukono,0.37,66.06,69,8,3.69
448,ust-kut,56.78,12.42,63,48,7.56
449,constitucion,23.99,71.6,48,75,3.2
450,elizabeth city,36.3,59.34,64,75,11.41
451,mrirt,,,,,
452,marcona,,,,,
453,gueret,46.17,35.6,100,75,5.82
454,barcelos,41.53,37.45,75,0,5.82
455,tome-acu,,,,,
456,valley,53.28,43.57,86,80,6.93
457,khani,41.96,46.4,52,75,18.34
458,naze,5.43,68,82,12,6.55
459,artyk,,,,,
460,panjakent,39.5,35.6,93,90,4.7
461,inongo,-1.93,69.52,100,92,2.46
462,nouakchott,18.08,66.2,19,0,8.05
463,kisanga,-11.72,64.35,98,88,5.37
464,palabuhanratu,,,,,
465,paamiut,61.99,27.54,100,80,29.75
466,rosa zarate,0.33,72.85,97,88,2.75
467,rocha,-34.48,75.24,75,64,10.36
468,roald,62.58,34.34,93,88,12.75
469,sorkjosen,,,,,
470,iberia,-11.41,79.92,70,68,4.09
471,north bend,43.41,57.92,71,90,8.05
472,khonuu,,,,,
473,port shepstone,-30.74,69.93,90,24,5.7
474,leh,34.16,-14.95,66,64,1.79
475,beroroha,-21.68,70.69,100,36,2.98
476,tefe,-3.35,76,97,68,4.54
477,eureka,40.8,59.58,100,90,18.34
478,inhambane,-23.87,77.85,96,0,9.01
479,portland,45.52,46.72,60,90,12.75
480,ilulissat,69.22,6.8,77,88,20.8
481,iquique,-20.22,71.6,73,20,6.93
482,challans,46.85,38.66,93,90,4.7
483,stromness,42.87,41.31,100,90,5.82
484,port keats,-14.25,87.07,89,76,10.36
485,dourbali,11.81,61.15,38,20,10.51
486,tuy hoa,13.08,72.99,100,92,8.84
487,komsomolskiy,67.55,-7.57,61,48,6.71
488,hirara,24.8,64.4,93,75,18.34
489,mabaruma,8.2,76.32,91,80,5.99
490,sambava,-14.27,77.04,100,92,0.74
491,barbar,,,,,
492,mankono,8.06,68.31,68,32,2.75
493,chikoy,,,,,
494,tagusao,9.19,79.2,91,36,9.84
495,mayumba,-3.44,77.4,100,20,5.1
496,camacha,33.08,60.04,67,40,5.82
497,diebougou,10.97,64.57,37,24,5.59
498,jalingo,10.3,63.36,28,0,10.29
499,xuddur,4.12,72,47,56,12.86
500,garowe,8.41,61.87,93,0,7.38
501,chapais,49.78,21.2,92,90,8.05
502,moerai,-22.43,77.13,100,0,4.03
503,henties bay,-22.12,60.12,100,8,5.26
504,kimbe,-5.56,78.12,100,76,2.08
505,severo-kurilsk,50.68,25.42,100,48,15.32
506,kodinsk,58.6,2.07,76,12,4.47
507,kaeo,-35.1,81.09,50,44,5.32
508,elko,40.83,35.96,75,1,9.17
509,mugan,35.94,-6.08,50,0,3.36
510,xinqing,48.28,2.2,55,0,9.84
511,chomun,,,,,
512,miramar,10.09,68.58,64,75,13.87
513,quatre cocos,-20.21,78.8,78,40,11.41
514,narsaq,60.91,26.5,95,92,1.68
515,korla,,,,,
516,semey,50.41,24.8,92,90,17.9
517,buchanan,5.88,73.4,94,20,5.32
518,dambovicioara,45.45,4.99,75,24,2.68
519,half moon bay,37.46,59.14,93,90,21.92
520,kailua,21.39,78.44,66,40,8.05
521,calvinia,-31.47,52.83,88,0,3.58
522,porto novo,-23.68,73.4,78,0,1.12
523,gondanglegi,-7.75,74.79,88,44,3.76
524,airai,-8.93,75.24,90,24,2.01
525,langsa,4.47,69.57,91,56,2.24
526,trairi,-3.28,79.56,100,76,12.41
527,gwanda,-20.94,71.73,67,24,8.05
528,kamaishi,39.28,33.8,59,75,4.7
529,reconquista,-29.14,77,100,90,11.41
530,gerede,40.8,15.97,85,68,2.75
531,novaya ladoga,60.11,26.1,88,88,5.48
532,ekhabi,53.51,-7.16,90,20,12.75
533,delta,41.57,39.38,73,20,13.87
534,beloha,-25.17,71.37,94,0,4.09
535,bulawayo,-20.16,63.9,92,24,6.04
536,xuanzhou,30.95,35.46,100,92,11.03
537,kromy,52.69,4.77,76,32,6.6
538,tukrah,,,,,
539,front royal,38.92,52.57,71,90,5.82
540,bang saphan,11.21,77,100,75,5.82
541,christchurch,-43.53,73.4,60,24,21.92
542,pontes e lacerda,-15.23,75.6,86,56,4.59
543,coquimbo,-29.95,62.6,82,0,7.34
544,chemax,20.66,72.63,93,76,4.09
545,dostpur,26.27,50.22,94,0,8.05
546,olafsvik,,,,,
547,matay,28.42,35.91,82,0,7
548,broome,52.47,39.83,70,80,16.11
549,sur,22.57,68.22,100,0,2.3
550,tari,12.41,61.29,32,0,8.34
551,weligama,5.97,74.2,100,0,3.31
552,urumqi,,,,,
553,sechura,-5.56,76.05,79,24,10.02
554,apricena,41.78,47.2,100,12,8.23
555,raudeberg,61.99,37.4,74,48,6.93
556,alofi,-19.06,86,79,75,6.93
557,ati,13.21,66.06,26,12,11.3
558,iquitos,-3.75,75.2,94,75,5.48
559,chagda,,,,,
560,husavik,50.56,12.15,85,88,19.42
561,lensk,60.71,9.49,73,56,7.38
562,asilah,,,,,
563,bonavista,48.65,24.12,100,48,24.45
564,sao luiz gonzaga,-28.41,75.1,96,68,6.33
565,russell,-33.01,64.62,39,0,1.23
566,grand haven,43.06,33.96,63,90,17.22
567,hami,42.84,1.71,56,44,2.3
568,clyde river,70.47,-5.81,76,90,12.75
569,netivot,31.42,45.85,72,12,16.11
570,egvekinot,66.32,-34.3,60,0,4.59
571,vila,45.18,30.2,100,90,1.12
572,yumen,40.29,3.64,68,48,6.26
573,koboko,3.41,63.27,79,0,2.53
574,mareeba,-16.99,91.4,55,0,3.36
575,santa barbara,34.42,57.81,83,1,11.14
576,griffith,-34.29,81.61,32,0,8.05
577,bushehr,28.97,66.2,72,90,6.93
578,ambon,47.55,41.59,93,90,4.7
579,dabat,12.98,40.54,44,0,1.86
580,kieta,-6.22,84.42,95,0,3.2
581,san bartolome de tirajana,,,,,
582,banikoara,11.3,59.35,49,0,5.59
583,somerset west,-34.08,66.2,82,20,16.11
584,mwinilunga,-11.73,66.06,84,92,5.21
585,tucheng,28.28,33.25,99,92,2.86
586,ouango,4.31,70.2,86,0,2.86
587,capreol,46.71,33.8,96,90,5.82
